Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6a18e18ba9d67f0fd150bb70,696018495837088e840652e0,APPROVED,Not Applicable,2026-05-29T00:45:08.558000Z,2026-05-29T00:48:09.675000Z,2026-05-29T19:47:59.568000Z,2026-05-29T00:48:10.013552Z,182.0,C1M8S19P,846,English,English,21,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking)
6a18e18c637e71e23f678f87,5d1511f1e814b800016108a6,APPROVED,Not Applicable,2026-05-29T00:45:06.562000Z,2026-05-29T00:48:24.554000Z,2026-05-29T19:47:38.960000Z,2026-05-29T00:48:24.890113Z,198.0,C1M8S19P,16843,English,English,70,Male,White,United States,United States,United States,English,No,Full-Time
6a18e18c93e18af53fca3fa2,657f007d38e31904b66cc7ac,APPROVED,Not Applicable,2026-05-29T00:45:04.735000Z,2026-05-29T00:49:55.711000Z,2026-05-29T19:47:19.613000Z,2026-05-29T00:49:56.036011Z,291.0,C1M8S19P,6371,English,English,53,Female,White,United States,United States,United States,English,No,Part-Time
6a18e18c94f882f273560633,67e6bc676fb4db70edc23b5b,RETURNED,Not Applicable,2026-05-29T00:45:07.161000Z,,,2026-06-02T23:53:04.701418Z,,,3145,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6a18e18d76d6d441425fcc1f,6a136aea5827df00a4280f08,APPROVED,Not Applicable,2026-05-29T00:45:05.677000Z,2026-05-29T00:47:30.228000Z,2026-05-29T19:47:20.967000Z,2026-05-29T00:47:30.591468Z,145.0,C1M8S19P,102,English,English,22,Female,White,United States,United States,United States,English,No,Part-Time
6a18e18d8e1cc96d5b58b851,67c535ec3af64efa48e9a601,APPROVED,Not Applicable,2026-05-29T00:45:01.035000Z,2026-05-29T00:48:14.189000Z,2026-05-29T19:47:18.653000Z,2026-05-29T00:48:14.557384Z,194.0,C1M8S19P,1916,English,"Chinese, English",19,Female,Asian,China,Canada,Canada,English,Yes,Part-Time
6a18e18db027fe1580651409,6a119bc0a5cfc8ded4eb19cf,APPROVED,Not Applicable,2026-05-29T00:45:01.471000Z,2026-05-29T00:48:50.476000Z,2026-05-29T19:48:22.412000Z,2026-05-29T00:48:50.834487Z,230.0,C1M8S19P,53,English,"Romanian, English",34,Male,White,Romania,United Kingdom,Romania,English,No,Full-Time
6a18e18e5c767d126dcf21d3,67924313eb24f3a077d26376,APPROVED,Not Applicable,2026-05-29T00:45:06.325000Z,2026-05-29T00:56:39.136000Z,2026-05-29T19:48:32.964000Z,2026-05-29T00:56:39.475004Z,693.0,C1M8S19P,2646,English,English,54,Female,White,United States,United States,United States,English,No,Full-Time
6a18e18e70f53dd1ba230dfe,5d0f7a1297384f00195a5478,APPROVED,Not Applicable,2026-05-29T00:45:10.236000Z,2026-05-29T00:48:01.329000Z,2026-05-29T19:47:39.957000Z,2026-05-29T00:48:01.684267Z,172.0,C1M8S19P,178,English,English,49,Male,White,United States,United States,United States,English,No,Full-Time
6a18e18f768432417ead4f74,6913b78c7ce6ffb89602b605,APPROVED,Not Applicable,2026-05-29T00:45:20.366000Z,2026-05-29T00:52:13.248000Z,2026-05-29T19:48:23.903000Z,2026-05-29T00:52:14.708019Z,413.0,C1M8S19P,796,English,English,33,Female,Black,Australia,Australia,Australia,English,No,Part-Time
6a18e18fafb61d92127b1343,6a04f89ba144647dde2c8ffc,APPROVED,Not Applicable,2026-05-29T00:45:07.685000Z,2026-05-29T00:48:02.186000Z,2026-05-29T19:47:22.693000Z,2026-05-29T00:48:02.518597Z,175.0,C1M8S19P,27,English,English,25,Male,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6a18e19009cc3dc5c6c34719,69f4c0f5f00dfaaf110a20ae,APPROVED,Not Applicable,2026-05-29T00:45:07.181000Z,2026-05-29T00:48:18.803000Z,2026-05-29T19:47:22.106000Z,2026-05-29T00:48:19.128496Z,192.0,C1M8S19P,415,English,English,37,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
6a18e1902555f128a2957e8f,69b02c8f3094c9f6ee11df61,APPROVED,Not Applicable,2026-05-29T00:45:09.901000Z,2026-05-29T00:49:26.934000Z,2026-05-29T19:48:23.078000Z,2026-05-29T00:49:27.424698Z,258.0,C1M8S19P,488,English,English,48,Female,Mixed,Canada,Canada,Guyana,English,No,Full-Time
6a18e1921a07705fad91d0e1,69f853db20166b94c6786046,APPROVED,Not Applicable,2026-05-29T00:45:08.938000Z,2026-05-29T00:46:49.602000Z,2026-05-29T19:47:39.501000Z,2026-05-29T00:46:49.940530Z,101.0,C1M8S19P,226,English,English,30,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6a18e19394dab75ecb8b66b3,6a0391f294f87f0b189b0ce3,APPROVED,Not Applicable,2026-05-29T00:45:11.895000Z,2026-05-29T00:48:23.729000Z,2026-05-29T19:48:00.175000Z,2026-05-29T00:48:24.074015Z,192.0,C1M8S19P,142,English,English,41,Male,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
